Iteration	Posterior	Likelihood	Prior	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	neo_beta	rate_log_sd	tree_length	two_beta
0	-2599.423	-2704.239	104.8155	0.640438	0.0627822	0.174496	0.122284	0.9533014	1.323339	1.229227	1.663037
6	-2602.459	-2707.365	104.9061	0.730512	0.0716122	0.0583933	0.139483	0.934555	1.357176	1.122774	1.683688
12	-2616.008	-2720.498	104.4901	0.63889	0.032316	0.206805	0.121989	0.934555	1.339075	1.20408	2.126522
18	-2619.811	-2724.634	104.8235	0.65914	0.0462097	0.21336	0.0812899	0.6576175	1.175016	1.44678	1.884364
24	-2607.984	-2712.5	104.5161	0.616334	0.0430298	0.264293	0.076343	1.099845	1.200011	1.466551	1.637765
30	-2606.241	-2710.383	104.142	0.556056	0.0605543	0.297465	0.0859249	1.068482	1.104288	1.581378	2.081468
36	-2594.834	-2698.31	103.4764	0.76855	0.0307339	0.157106	0.0436106	1.963202	1.197085	1.624516	1.745637
42	-2607.46	-2711.55	104.0896	0.772221	0.0225811	0.191281	0.0139166	0.9779504	1.30949	1.392063	2.345775
48	-2604.015	-2708.88	104.8657	0.736658	0.101684	0.0690226	0.0926353	0.87638	1.192552	1.407214	1.589032
54	-2597.788	-2702.631	104.8433	0.596544	0.132264	0.184675	0.0865167	0.820709	1.184558	1.428621	1.661748
60	-2598.328	-2702.668	104.3397	0.604383	0.146621	0.20472	0.0442756	0.8875294	1.300717	1.550327	1.857086
66	-2602.182	-2706.975	104.7927	0.753097	0.0634282	0.128305	0.05517	0.9574991	1.078257	1.49082	1.582964
72	-2600.696	-2705.79	105.0946	0.654544	0.147856	0.156452	0.0411478	0.6570125	1.17802	1.351945	1.693588
78	-2606.78	-2712.396	105.6163	0.684644	0.154655	0.138943	0.0217586	0.3366609	1.300147	1.243853	1.447848
84	-2611.637	-2715.799	104.1628	0.474408	0.414238	0.096277	0.0150771	0.8502013	1.141341	1.404153	2.661433
